id,count
0,94.7
1,238.17
2,84.64
4,31.75
5,30.02
10,116.29
11,257.76
12,334.68
15,43.25
17,131.57
18,269.6
23,275.38
25,114.07
26,40.29
31,140.78
39,138.87
40,26.76
41,132.65
42,382.17
43,206.77
51,204.85
52,91.37
54,18.04
60,136.47
61,138.91
62,104.78
63,27.92
65,116.8
66,114.54
68,129.79
71,84.33
80,28.08
82,69.67
94,132.08
98,243.66
101,35.85
102,157.27
107,92.66
112,198.98
113,80.3
115,52.75
116,118.94
120,131.48
121,75.71
122,292.69
132,201.83
143,83.28
147,61.7
150,16.26
151,87.42
152,223.92
153,91.18
155,186.81
156,59.0
159,188.89
161,132.05
163,52.28
177,198.14
186,16.47
188,18.75
190,100.76
191,89.19
192,268.56
195,276.68
200,136.14
209,311.12
210,13.9
211,192.53
214,144.67
215,24.52
218,101.21
219,30.8
222,147.8
225,15.71
228,288.5
236,207.48
241,37.12
242,159.3
243,217.2
245,19.85
247,247.12
251,137.43
252,83.05
253,85.35
254,91.1
258,327.82
260,48.14
261,136.48
265,92.32
266,272.0
267,266.44
269,188.77
270,65.26
275,97.59
278,36.79
279,84.74
286,101.79
287,28.41
288,237.16
289,135.91
293,19.56
294,114.55
297,36.94
302,126.7
303,81.37
304,35.31
307,99.21
309,16.46
311,174.54
312,120.46
314,192.99
315,213.56
319,152.43
322,106.51
323,64.68
325,122.18
327,149.82
330,37.31
332,203.76
333,19.62
338,99.03
341,117.07
345,144.45
348,104.98
349,50.09
350,120.54
352,46.6
355,18.43
356,229.08
358,54.74
363,120.78
369,192.18
371,17.87
372,158.5
375,274.02
380,140.48
388,47.91
391,136.17
392,226.58
393,387.8
394,214.15
396,27.86
401,36.73
407,84.54
409,98.29
410,114.62
416,114.09
418,118.05
420,136.31
421,173.93
422,131.66
424,281.75
428,312.05
429,210.1
431,148.05
435,14.76
439,116.86
441,12.89
447,82.84
449,140.97
451,146.04
452,16.88
454,205.25
458,209.41
463,121.34
467,14.05
470,220.37
471,192.76
474,269.22
478,16.46
483,130.92
484,117.85
