id,count
0,96.85
1,228.96
2,85.85
4,32.85
5,75.65
10,120.55
11,177.79
12,314.54
15,39.61
17,134.66
18,304.01
23,260.77
25,101.25
26,40.2
31,213.3
39,154.16
40,25.19
41,174.26
42,354.19
43,159.67
51,223.12
52,91.67
54,15.27
60,137.7
61,147.82
62,113.38
63,27.21
65,121.22
66,110.92
68,151.43
71,73.98
80,28.29
82,71.94
94,131.43
98,271.82
101,33.93
102,124.6
107,93.42
112,216.43
113,79.59
115,58.27
116,123.37
120,165.45
121,87.82
122,336.58
132,185.65
143,90.81
147,69.15
150,17.64
151,86.64
152,233.76
153,90.46
155,173.75
156,82.66
159,195.93
161,142.8
163,45.5
177,172.76
186,15.2
188,17.4
190,99.61
191,83.26
192,257.21
195,309.18
200,134.37
209,315.64
210,15.47
211,233.86
214,113.67
215,25.33
218,101.51
219,34.24
222,143.82
225,14.76
228,320.47
236,234.19
241,36.85
242,173.19
243,246.88
245,17.38
247,251.13
251,131.21
252,87.51
253,84.49
254,89.71
258,314.85
260,59.56
261,162.16
265,110.49
266,277.76
267,295.84
269,164.24
270,72.19
275,102.64
278,40.59
279,84.88
286,98.43
287,29.82
288,207.69
289,138.07
293,18.42
294,150.8
297,49.4
302,118.82
303,75.78
304,75.38
307,100.66
309,18.24
311,173.14
312,120.9
314,184.16
315,246.13
319,167.83
322,118.64
323,70.37
325,132.13
327,248.36
330,38.85
332,211.39
333,17.22
338,103.25
341,110.57
345,188.99
348,124.76
349,46.96
350,120.65
352,58.74
355,17.2
356,224.97
358,61.36
363,128.54
369,150.03
371,19.79
372,132.69
375,299.14
380,127.96
388,44.07
391,146.51
392,251.46
393,364.05
394,206.98
396,28.6
401,36.37
407,108.07
409,92.56
410,114.39
416,105.87
418,124.15
420,147.17
421,205.02
422,131.83
424,293.53
428,334.27
429,214.23
431,151.26
435,14.56
439,115.85
441,15.95
447,89.88
449,134.17
451,133.78
452,16.59
454,215.33
458,211.17
463,126.97
467,15.91
470,231.79
471,159.46
474,288.14
478,16.8
483,118.85
484,134.52
485,83.58
486,129.36
491,99.09
494,101.57
495,234.86
497,205.14
499,165.53
515,113.91
518,220.47
521,195.97
525,162.52
529,239.34
532,131.01
534,104.65
540,111.26
544,298.83
547,170.47
549,44.86
563,40.08
564,137.73
567,120.16
572,120.42
577,133.09
578,276.42
585,338.2
588,135.28
589,125.16
590,107.36
592,17.73
594,221.2
596,15.81
598,348.77
599,140.71
605,35.61
606,125.79
607,252.32
608,223.31
609,70.26
610,284.94
611,194.38
614,126.38
615,215.96
616,249.32
617,127.57
618,249.41
624,116.09
629,145.48
631,89.82
633,96.35
637,26.31
638,105.81
643,66.58
644,130.6
645,39.43
646,201.3
648,197.0
650,38.22
